$000000D3C19A, VOL=11.001V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=11.001V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=11.001V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=11.001V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=11.001V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.900V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.900V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.900V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.900V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.900V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.700V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.700V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.700V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.700V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
$000000D3C19A, VOL=10.700V, CUR=-10.170A, BAT=-13.226C,CHIP=-18.513C,QUA=18934mAh,REL=1, CLO=10.8V,OPE=11.8V
